,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
638,SW,SW,5.0,5605,317,201303100710,28.0,0.0,0.0,농산폐기물소각,충남,201303091553,우성,충남,산31,한천,공주,토, ,6.5,6,83.8,94.0,25.1,5.0,8.4
639,SW,WSW,3.0,302040,1515,201303100700,13.0,0.0,0.0,벌꿀소독,경북,201303091545,연일,경북,산200,우복,포항,토, ,2.0,4,76.2,87.0,26.6,6.0,7.8
640,SW,WSW,5.0,5416712,1652,201303100830,13.0,0.0,0.0,어린이불장난,경북,201303091538,용흥,경북,산122, ,포항 북,토, ,2.0,4,80.2,86.0,26.6,6.0,8.7
641,SW,S,0.2,3221,32,201303091605,20.0,0.0,0.0,논두렁소각,전남,201303091533,동,전남,산141,옥호,화순,토, ,5.0,4,86.9,94.0,26.2,6.5,3.7
642,SW,SW,0.6,8000,350,201303091900,56.0,0.0,0.0,담뱃불실화,경남,201303091510,물금,경남,산150,범어,양산,토, ,15.0,4,69.3,80.0,18.3,6.7,8.3
643,WSW,SSE,0.2,3063,0,201303091451,21.0,0.0,0.0,쓰레기소각,전남,201303091451,동복,전남,산71,구암,화순,토, ,5.0,4,87.1,94.0,26.1,6.0,4.4
644,SSW,SSW,2.4,5250,310,201303091750,30.0,0.0,0.0,밭두렁소각,전북,201303091440,심원,전북,산54,주산,고창,토, ,3.9,4,76.1,94.0,25.7,5.9,10.8
645,SW,S,0.3,926,150,201303091630,17.0,0.0,0.0,쓰레기소각,전남,201303091440,손불,전남,산54,대전,함평,토, ,4.0,4,84.3,94.0,24.8,7.6,7.0
646,S,SW,2.0,1792,320,201303091740,41.0,0.0,0.0,쓰레기소각,충남,201303091420,덕산,충남,산8,대동,예산,토, ,11.1,4,84.2,94.0,18.7,8.2,14.5
647,W,S,5.0,454957,352,201303091810,15.0,0.0,0.0,성묘객실화,울산,201303091418,시례,울산,산116, ,북,토, ,6.5,4,88.5,94.0,23.9,4.4,10.5
648,W,W,0.03,773,50,201303091450,15.0,0.0,0.0,쓰레기소각,울산,201303091400,두동,울산,산52-4,은편,울주,토, ,6.5,4,84.8,94.0,23.9,4.4,4.9
649,SSW,E,0.3,0,109,201303091440,20.0,0.0,0.0,쓰레기소각,전북,201303091331,덕치,전북,산73,회문,임실,토, ,6.0,4,86.9,94.0,21.5,4.9,6.4
650,SW,WSW,0.05,350,53,201303091415,27.0,0.0,0.0,밭두렁소각,광주,201303091322,청풍,광주,산704, ,북,토, ,5.0,4,88.0,94.0,24.8,4.6,6.4
651,ENE,SW,0.3,16708,105,201303091420,32.0,0.0,0.0,쓰레기소각,강원,201303091315,북상,강원,산19,오항,춘천,토, ,5.5,4,81.8,94.0,14.3,0.9,4.5
652,SW,S,0.6,400,215,201303091520,27.0,0.0,0.0,쓰레기소각,광주,201303091305,삼거,광주,산43, ,광산,토, ,5.0,4,90.2,92.0,24.8,4.6,5.2
653,WNW,SW,5.0,142754,550,201303091830,13.0,0.0,0.0,작업장용접,울산,201303091240,청량,울산,산95,삼정,울주,토, ,6.5,4,83.6,94.0,22.8,5.2,5.9
654,SSE,SSW,2.0,9576,425,201303091700,32.0,0.0,0.0,쓰레기소각,세종,201303091235,전동,세종,산201-3,청람,세종,토, ,2.4,2,0.0,0.0,20.3,2.1,8.8
655,SSE,SSW,2.2,1660,455,201303091650,29.0,0.0,0.0,논밭두렁소각,전북,201303091155,상하,전북,산80,하장,고창,토, ,3.9,4,55.9,71.0,20.2,4.7,6.4
656,NNE,SSW,1.0,2100,217,201303100210,70.0,0.0,0.0,쓰레기소각,제주,201303091153,월평,제주,산85, ,제주,토, ,6.9,4,27.1,44.0,18.2,3.1,11.9
657,NNE,SW,0.2,0,315,201303091450,34.0,0.0,0.0,논밭두렁소각,전북,201303091135,적상,전북,산73,괴목,무주,토, ,10.0,4,70.7,87.0,15.8,0.9,7.9
658,S,S,0.5,0,340,201303091450,20.0,0.0,0.0,쓰레기소각,전북,201303091110,행안,전북,산49,진동,부안,토, ,4.5,7,82.2,86.0,20.6,7.1,6.8
659,WSW,SSW,0.1,6120,125,201303081350,21.0,0.0,0.0,입산자실화,경북,201303081225,강구,경북,산53-14,강구,영덕,금, ,0.0,0,67.2,87.0,19.1,7.2,4.9
660,WSW,WSW,1.0,42008,217,201303081430,38.0,0.0,0.0,쓰레기소각,강원,201303081213,현남,강원,산270,하월천,양양,금, ,6.5,6,87.7,94.0,14.9,8.3,9.4
661,NNW,W,0.01,1859,50,201303081250,19.0,0.0,0.0,조사중,울산,201303081200,상북,울산,산25,향산,울주,금, ,8.0,7,43.2,87.0,18.2,5.3,8.0
662,SE,SW,1.0,2760,530,201303070730,25.0,0.0,0.0,농산폐기물소각,전북,201303070200,금구,전북,산66,선암,김제,목, ,7.0,7,58.6,66.0,13.7,4.2,6.8
663,E,ESE,0.01,4500,40,201303061750,20.0,0.0,0.0,입산자실화,경북,201303061710,장천,경북,산51,여남,구미,수, ,1.0,5,83.8,94.0,17.3,0.5,1.1
664,SSW,WSW,0.5,2394,130,201303061800,27.0,0.0,0.0,농산폐기물소각,세종,201303061630,금남,세종,산21-1,금천,세종,수, ,4.6,5,0.0,0.0,17.2,2.4,2.7
665,WSW,SW,0.5,100,130,201303061700,5.0,0.0,0.0,농산폐기물소각,전북,201303061530,비봉,전북,산95,백도,완주,수, ,7.0,5,79.1,87.0,18.8,3.1,4.5
666,W,W,0.05,7697,200,201303061710,28.0,0.0,0.0,농산폐기물소각,강원,201303061510,남산,강원,산143,산수,춘천,수, ,5.0,5,67.0,87.0,12.6,1.4,2.4
667,NW,WNW,0.01,424,45,201303061530,16.0,0.0,0.0,쓰레기소각,울산,201303061445,서생,울산,산31-3,화산,울주,수, ,6.5,5,86.6,94.0,19.0,4.3,6.0
668,WSW,S,0.8,4790,45,201303061510,24.0,0.0,0.0,쓰레기소각,전남,201303061425,동북,전남,산114,안성,화순,수, ,4.0,5,87.1,94.0,18.0,2.4,4.7
669,S,SW,0.1,1986,40,201303061500,34.0,0.0,0.0,논두렁소각,전남,201303061420,영암,전남,산5,농덕,영암,수, ,7.0,5,84.2,94.0,15.6,4.9,7.2
670,S,SSW,0.5,488,230,201303061630,17.0,0.0,0.0,농산폐기물소각,충남,201303061400,대술,충남,산6-5,방산,예산,수, ,6.0,5,84.8,94.0,16.0,1.8,6.4
671,SW,S,1.0,5381,45,201303061435,21.0,0.0,0.0,논두렁소각,전남,201303061350,한천,전남,산36,고시,화순,수, ,4.0,5,85.1,94.0,16.9,2.8,2.9
672,SW,WSW,0.2,1100,214,201303061552,21.0,0.0,0.0,농산폐기물소각,광주,201303061338,장등,광주,산15-1, ,북,수, ,4.0,5,86.1,94.0,16.9,2.8,5.7
673,W,SW,0.8,19500,140,201303051820,12.0,0.0,0.0,농산폐기물소각,경북,201303051640,동해,경북,산59,발산,포항 남,화, ,2.0,4,77.6,94.0,16.2,3.2,5.0
674,NW,NW,0.1,5000,115,201303051620,17.0,0.0,0.0,논밭두렁소각,경북,201303051505,옥성,경북,산5-6,구봉,구미,화, ,1.0,4,75.0,87.0,14.0,4.3,3.9
675,WNW,NE,1.0,2526,215,201303051720,18.0,0.0,0.0,용접작업,전남,201303051505,서,전남,산279-13,판교,순천,화, ,3.5,4,87.1,94.0,13.5,3.2,6.0
676,SW,NNW,0.02,2016,125,201303051610,16.0,0.0,0.0,농산폐기물소각,경남,201303051445,안의,경남,산53,신안,함양,화, ,2.0,4,79.3,94.0,14.2,4.3,9.1
677,W,W,0.06,2000,150,201303051600,21.0,0.0,0.0,쓰레기소각,경북,201303051410,중동,경북,산30-1,우물,상주,화, ,3.5,4,70.0,80.0,10.7,3.7,2.3
678,NW,WNW,0.03,350,50,201303051240,17.0,0.0,0.0,성묘객실화,경남,201303051150,주촌,경남,산158,내삼리,김해,화, ,10.5,4,85.3,94.0,9.4,2.8,5.6
679,W,WNW,0.01,0,40,201303051145,24.0,0.0,0.0,농산폐기물소각,경남,201303051105,지수,경남,산38,압사,진주,화, ,1.5,3,86.9,94.0,8.6,1.3,2.1
680,E,SW,0.05,1115,104,201303041550,35.0,0.0,0.0,농산폐기물소각,경남,201303041446,축,경남,산47-7,반용,사천,월, ,1.5,3,83.4,94.0,10.9,1.7,3.4
681,W,WSW,0.2,10189,133,201303041400,34.0,0.0,0.0,쓰레기소각,강원,201303041227,근덕,강원,산587-2,동막,삼척,월, ,0.0,0,43.3,66.0,8.1,3.1,4.7
682,SSW,S,0.01,0,40,201302281755,17.0,0.0,0.0,논밭두렁소각,충북,201302281715,진천,충북,산78-1,문봉,진천,목, ,0.6,6,68.9,92.0,16.6,0.5,1.3
683,S,S,1.0,6832,200,201302281730,17.0,0.0,0.0,밭두렁소각,전남,201302281530,동화,전남,산70,송계,장성,목, ,6.0,11,89.2,94.0,19.4,4.4,8.4
684,S,S,1.0,4939,400,201302281900,17.0,0.0,0.0,논두렁소각,전남,201302281500,동강,전남,산86-1,곡천,나주,목, ,6.0,11,88.6,92.0,19.4,4.4,7.4
685,SSW,SW,0.1,0,30,201302281430,11.0,0.0,0.0,원인미상,전북,201302281400,서서학,전북,산243, ,전주 완산,목, ,4.0,11,77.1,92.0,19.6,4.6,5.5
686,E,NW,0.3,0,205,201302281550,28.0,0.0,0.0,농산폐기물소각,충북,201302281345,단양,중부,산23-1,후곡,단양,목, ,0.0,0,59.1,72.0,11.9,1.3,3.2
687,SE,SE,0.2,0,140,201302281510,23.0,0.0,0.0,농산폐기물소각,충남,201302281330,장평,충남,산93-1,은곡,청양,목, ,3.5,6,76.8,87.0,14.9,1.0,2.4
688,E,S,6.0,28090,500,201302281800,24.0,0.0,0.0,밭두렁소각,전남,201302281300,겸,전남,산200-1,괴정,곡성,목, ,7.0,11,89.7,94.0,15.6,3.1,3.2
689,E,SSE,1.0,3907,200,201302281500,24.0,0.0,0.0,밭두렁소각,전남,201302281300,입,전남,산19,매월,곡성,목, ,7.0,11,87.3,94.0,15.6,3.1,2.5
690,SSE,SW,2.0,3630,448,201302281700,20.0,0.0,0.0,농산폐기물소각,전남,201302281212,문척,전남,산142-2,중산,구례,목, ,9.7,11,84.6,94.0,14.2,2.0,2.6
691,ESE,E,0.02,5352,50,201302281300,39.0,0.0,0.0,농산폐기물소각,강원,201302281210,원덕,강원,산145-1,호산,삼척,목, ,11.0,10,87.4,94.0,11.5,2.9,5.8
692,E,ESE,0.1,2820,155,201302281350,32.0,0.0,0.0,입산자실화,경남,201302281155,화정,경남,산158,석천,의령,목, ,6.5,11,85.1,94.0,10.7,1.1,1.8
693,정온,NW,0.3,6690,110,201302281140,32.0,0.0,0.0,논밭두렁소각,경남,201302281030,이곡,경남,산379, ,양산,목, ,11.5,11,82.0,94.0,9.8,0.0,1.4
694,S,ENE,0.1,0,107,201302271650,33.0,0.0,0.0,쓰레기소각,충북,201302271543,남이,충북,산35,산막,청원,수, ,0.6,5,46.8,59.0,12.3,1.9,2.9
695,NE,WNW,0.1,302,130,201302271600,24.0,0.0,0.0,조사중,경남,201302271430,구산,경남,산122,구복,창원 마산합포,수, ,7.5,10,85.7,94.0,14.1,3.5,2.6
696,SE,ENE,1.0,15000,330,201302271640,27.0,0.0,0.0,농산폐기물소각,경남,201302271310,묘산,경남,산39-5 외 1,반포,합천,수, ,4.5,10,78.6,98.0,14.6,1.7,7.9
697,WSW,NNE,0.5,5040,110,201302251640,15.0,0.0,0.0,논두렁소각,전남,201302251530,한천,전남,산67,금전리,화순,월, ,6.0,8,85.1,94.0,13.1,1.4,3.6
698,W,SSE,1.0,45378,135,201302251600,15.0,0.0,0.0,공장작업장 실화,울산,201302251425,온산,울산,713,학남,울주,월, ,8.5,7,67.5,92.0,13.0,1.4,5.4
699,SSE,E,0.05,0,56,201302251320,37.0,0.0,0.0,쓰레기소각,대전,201302251224,용운,대전,산45-1, ,동,월, ,2.6,3,42.2,52.0,6.4,1.7,3.8
700,정온,N,0.5,9385,620,201302250710,22.0,0.0,0.0,공장화재,경남,201302250050,상동,경남,산105-8,매리,김해,월, ,8.0,7,67.2,87.0,4.2,0.1,0.7
701,SSW,W,0.1,235,202,201302242025,29.0,0.0,0.0,무속인 풍등실화,경남,201302241823,장목,경남,산207-1,외포,거제,일, ,10.5,6,86.0,94.0,7.0,2.3,2.2
702,SE, ,0.01,0,14,201302241422,31.0,0.0,0.0,원인미상,광주,201302241408,운림,광주,산390, ,동,월, ,1.0,6,30.1,38.0,7.4,1.1,0.0
703,N,NW,0.3,5659,110,201302241510,15.0,0.0,0.0,작업장실화,울산,201302241400,웅촌,울산,산140,고연,울주,일, ,7.5,6,83.3,94.0,9.9,1.6,4.3
704,WNW,WSW,0.02,390,102,201302231420,20.0,0.0,0.0,담뱃불실화,경북,201302231318,북후,경북,산171-1,연곡,안동,토, ,0.1,17,60.4,73.0,3.5,4.8,6.4
705,WNW,SW,0.03,0,217,201302211700,26.0,0.0,0.0,쓰레기소각,충남,201302211443,벌곡,중부,산2-1,검천,논산,목, ,1.0,3,50.0,66.0,3.5,3.8,2.2
706,NE,E,0.01,0,20,201302201500,14.0,0.0,0.0,중학생불장난,울산,201302201440,범서,울산,산165-3,구영,울주,수, ,7.5,2,68.3,84.0,4.4,3.1,5.3
707,WSW,SE,0.3,0,100,201302170830,51.0,0.0,0.0,입산자실화,광주,201302170730,운림,광주,산238, ,동,일, ,0.5,5,31.1,45.0,-0.2,0.7,2.1
708,정온,SSW,0.3,0,1300,201302160830,30.0,0.0,0.0,원인미상,대전,201302161930,구도,대전,산1-1, ,동,토, ,4.0,10,41.0,52.0,0.0,0.2,0.4
709,SE,NE,0.1,9103,125,201302161605,12.0,0.0,0.0,논두렁소각,경남,201302161440,상리,경남,산279-6,고봉,고성,토, ,0.5,4,85.7,94.0,6.3,2.0,5.1
